Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja);Ilość
64;Rozmiar:rozmiar:0; 48:0;100
64;Rozmiar:rozmiar:0; 50:0;100
65;Rozmiar:rozmiar:0; 32:0;100
65;Rozmiar:rozmiar:0; 34:0;100
65;Rozmiar:rozmiar:0; 36:0;100
65;Rozmiar:rozmiar:0; 38:0;100
65;Rozmiar:rozmiar:0; 40:0;100
65;Rozmiar:rozmiar:0; 42:0;100
65;Rozmiar:rozmiar:0; 44:0;100
65;Rozmiar:rozmiar:0; 46:0;100
65;Rozmiar:rozmiar:0; 48:0;100
65;Rozmiar:rozmiar:0; 50:0;100
66;Rozmiar:rozmiar:0; 32:0;100
66;Rozmiar:rozmiar:0; 34:0;100
66;Rozmiar:rozmiar:0; 36:0;100
66;Rozmiar:rozmiar:0; 38:0;100
66;Rozmiar:rozmiar:0; 40:0;100
66;Rozmiar:rozmiar:0; 42:0;100
66;Rozmiar:rozmiar:0; 44:0;100
66;Rozmiar:rozmiar:0; 46:0;100
66;Rozmiar:rozmiar:0; 48:0;100
66;Rozmiar:rozmiar:0; 50:0;100
67;Rozmiar:rozmiar:0; 32:0;100
67;Rozmiar:rozmiar:0; 34:0;100
67;Rozmiar:rozmiar:0; 36:0;100
67;Rozmiar:rozmiar:0; 38:0;100
67;Rozmiar:rozmiar:0; 40:0;100
67;Rozmiar:rozmiar:0; 42:0;100
67;Rozmiar:rozmiar:0; 44:0;100
67;Rozmiar:rozmiar:0; 46:0;100
68;Rozmiar:rozmiar:0; 32:0;100
68;Rozmiar:rozmiar:0; 34:0;100
68;Rozmiar:rozmiar:0; 36:0;100
68;Rozmiar:rozmiar:0; 38:0;100
68;Rozmiar:rozmiar:0; 40:0;100
68;Rozmiar:rozmiar:0; 42:0;100
68;Rozmiar:rozmiar:0; 44:0;100
68;Rozmiar:rozmiar:0; 46:0;100
69;Rozmiar:rozmiar:0; 32:0;100
69;Rozmiar:rozmiar:0; 34:0;100
69;Rozmiar:rozmiar:0; 36:0;100
69;Rozmiar:rozmiar:0; 38:0;100
69;Rozmiar:rozmiar:0; 40:0;100
69;Rozmiar:rozmiar:0; 42:0;100
69;Rozmiar:rozmiar:0; 44:0;100
69;Rozmiar:rozmiar:0; 46:0;100
70;Rozmiar:rozmiar:0; 32:0;100
70;Rozmiar:rozmiar:0; 34:0;100
70;Rozmiar:rozmiar:0; 36:0;100
70;Rozmiar:rozmiar:0; 38:0;100
70;Rozmiar:rozmiar:0; 40:0;100
70;Rozmiar:rozmiar:0; 42:0;100
70;Rozmiar:rozmiar:0; 44:0;100
70;Rozmiar:rozmiar:0; 46:0;100
71;Rozmiar:rozmiar:0; 32:0;100
71;Rozmiar:rozmiar:0; 34:0;100
71;Rozmiar:rozmiar:0; 36:0;100
71;Rozmiar:rozmiar:0; 38:0;100
71;Rozmiar:rozmiar:0; 40:0;100
71;Rozmiar:rozmiar:0; 42:0;100
71;Rozmiar:rozmiar:0; 44:0;100
71;Rozmiar:rozmiar:0; 46:0;100
72;Rozmiar:rozmiar:0; 32:0;100
72;Rozmiar:rozmiar:0; 34:0;100
72;Rozmiar:rozmiar:0; 36:0;100
72;Rozmiar:rozmiar:0; 38:0;100
72;Rozmiar:rozmiar:0; 40:0;100
72;Rozmiar:rozmiar:0; 42:0;100
72;Rozmiar:rozmiar:0; 44:0;100
72;Rozmiar:rozmiar:0; 46:0;100
73;Rozmiar:rozmiar:0; L:0;100
73;Rozmiar:rozmiar:0; M:0;100
73;Rozmiar:rozmiar:0; S:0;100
73;Rozmiar:rozmiar:0; XL:0;100
73;Rozmiar:rozmiar:0; XS:0;100
73;Rozmiar:rozmiar:0; XXL:0;100
74;Rozmiar:rozmiar:0; 32:0;100
74;Rozmiar:rozmiar:0; 34:0;100
