Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja)
53;Rozmiar:rozmiar:0; 46:0
54;Rozmiar:rozmiar:0; 32:0
54;Rozmiar:rozmiar:0; 34:0
54;Rozmiar:rozmiar:0; 36:0
54;Rozmiar:rozmiar:0; 38:0
54;Rozmiar:rozmiar:0; 40:0
54;Rozmiar:rozmiar:0; 42:0
54;Rozmiar:rozmiar:0; 44:0
54;Rozmiar:rozmiar:0; 46:0
55;Rozmiar:rozmiar:0; L:0
55;Rozmiar:rozmiar:0; M:0
55;Rozmiar:rozmiar:0; S:0
55;Rozmiar:rozmiar:0; XL:0
55;Rozmiar:rozmiar:0; XS:0
56;Rozmiar:rozmiar:0; 32:0
56;Rozmiar:rozmiar:0; 34:0
56;Rozmiar:rozmiar:0; 36:0
56;Rozmiar:rozmiar:0; 38:0
56;Rozmiar:rozmiar:0; 40:0
56;Rozmiar:rozmiar:0; 42:0
56;Rozmiar:rozmiar:0; 44:0
56;Rozmiar:rozmiar:0; 46:0
57;Rozmiar:rozmiar:0; 32:0
57;Rozmiar:rozmiar:0; 34:0
57;Rozmiar:rozmiar:0; 36:0
57;Rozmiar:rozmiar:0; 38:0
57;Rozmiar:rozmiar:0; 40:0
57;Rozmiar:rozmiar:0; 42:0
57;Rozmiar:rozmiar:0; 44:0
57;Rozmiar:rozmiar:0; 46:0
58;Rozmiar:rozmiar:0; 32:0
58;Rozmiar:rozmiar:0; 34:0
58;Rozmiar:rozmiar:0; 36:0
58;Rozmiar:rozmiar:0; 38:0
58;Rozmiar:rozmiar:0; 40:0
58;Rozmiar:rozmiar:0; 42:0
58;Rozmiar:rozmiar:0; 44:0
58;Rozmiar:rozmiar:0; 46:0
59;Rozmiar:rozmiar:0; L:0
59;Rozmiar:rozmiar:0; M:0
59;Rozmiar:rozmiar:0; S:0
59;Rozmiar:rozmiar:0; XL:0
59;Rozmiar:rozmiar:0; XS:0
60;Rozmiar:rozmiar:0; 44:0
60;Rozmiar:rozmiar:0; 46:0
60;Rozmiar:rozmiar:0; 48:0
60;Rozmiar:rozmiar:0; 50:0
60;Rozmiar:rozmiar:0; 52:0
60;Rozmiar:rozmiar:0; 54:0
60;Rozmiar:rozmiar:0; 56:0
60;Rozmiar:rozmiar:0; 58:0
61;Rozmiar:rozmiar:0; 35:0
61;Rozmiar:rozmiar:0; 36:0
61;Rozmiar:rozmiar:0; 37:0
61;Rozmiar:rozmiar:0; 38:0
61;Rozmiar:rozmiar:0; 39:0
61;Rozmiar:rozmiar:0; 40:0
61;Rozmiar:rozmiar:0; 41:0
61;Rozmiar:rozmiar:0; 42:0
62;Rozmiar:rozmiar:0; L:0
62;Rozmiar:rozmiar:0; M:0
62;Rozmiar:rozmiar:0; S:0
62;Rozmiar:rozmiar:0; XL:0
62;Rozmiar:rozmiar:0; XS:0
63;Rozmiar:rozmiar:0; L:0
63;Rozmiar:rozmiar:0; M:0
63;Rozmiar:rozmiar:0; S:0
63;Rozmiar:rozmiar:0; XL:0
63;Rozmiar:rozmiar:0; XS:0
64;Rozmiar:rozmiar:0; 32:0
64;Rozmiar:rozmiar:0; 34:0
64;Rozmiar:rozmiar:0; 36:0
64;Rozmiar:rozmiar:0; 38:0
64;Rozmiar:rozmiar:0; 40:0
64;Rozmiar:rozmiar:0; 42:0
64;Rozmiar:rozmiar:0; 44:0
64;Rozmiar:rozmiar:0; 46:0
65;Rozmiar:rozmiar:0; 32:0
65;Rozmiar:rozmiar:0; 34:0
65;Rozmiar:rozmiar:0; 36:0
65;Rozmiar:rozmiar:0; 38:0
65;Rozmiar:rozmiar:0; 40:0
65;Rozmiar:rozmiar:0; 42:0
65;Rozmiar:rozmiar:0; 44:0
65;Rozmiar:rozmiar:0; 46:0
66;Rozmiar:rozmiar:0; 32:0
66;Rozmiar:rozmiar:0; 34:0
66;Rozmiar:rozmiar:0; 36:0
66;Rozmiar:rozmiar:0; 38:0
66;Rozmiar:rozmiar:0; 40:0
66;Rozmiar:rozmiar:0; 42:0
66;Rozmiar:rozmiar:0; 44:0
66;Rozmiar:rozmiar:0; 46:0
67;Rozmiar:rozmiar:0; 32:0
67;Rozmiar:rozmiar:0; 34:0
67;Rozmiar:rozmiar:0; 36:0
67;Rozmiar:rozmiar:0; 38:0
67;Rozmiar:rozmiar:0; 40:0
67;Rozmiar:rozmiar:0; 42:0
67;Rozmiar:rozmiar:0; 44:0
67;Rozmiar:rozmiar:0; 46:0
68;Rozmiar:rozmiar:0; 35:0
68;Rozmiar:rozmiar:0; 36:0
68;Rozmiar:rozmiar:0; 37:0
68;Rozmiar:rozmiar:0; 38:0
68;Rozmiar:rozmiar:0; 39:0
68;Rozmiar:rozmiar:0; 40:0
68;Rozmiar:rozmiar:0; 41:0
68;Rozmiar:rozmiar:0; 42:0
69;Rozmiar:rozmiar:0; L:0
69;Rozmiar:rozmiar:0; M:0
69;Rozmiar:rozmiar:0; S:0
69;Rozmiar:rozmiar:0; XL:0
69;Rozmiar:rozmiar:0; XS:0
70;Rozmiar:rozmiar:0; L:0
70;Rozmiar:rozmiar:0; M:0
70;Rozmiar:rozmiar:0; S:0
70;Rozmiar:rozmiar:0; XL:0
70;Rozmiar:rozmiar:0; XS:0
71;Rozmiar:rozmiar:0; 32:0
71;Rozmiar:rozmiar:0; 34:0
71;Rozmiar:rozmiar:0; 36:0
71;Rozmiar:rozmiar:0; 38:0
71;Rozmiar:rozmiar:0; 40:0
71;Rozmiar:rozmiar:0; 42:0
71;Rozmiar:rozmiar:0; 44:0
71;Rozmiar:rozmiar:0; 46:0
71;Rozmiar:rozmiar:0; 48:0
71;Rozmiar:rozmiar:0; 50:0
72;Rozmiar:rozmiar:0; L:0
72;Rozmiar:rozmiar:0; M:0
72;Rozmiar:rozmiar:0; S:0
72;Rozmiar:rozmiar:0; XL:0
72;Rozmiar:rozmiar:0; XS:0
72;Rozmiar:rozmiar:0; XXL:0
73;Rozmiar:rozmiar:0; L:0
73;Rozmiar:rozmiar:0; M:0
73;Rozmiar:rozmiar:0; S:0
73;Rozmiar:rozmiar:0; XL:0
73;Rozmiar:rozmiar:0; XS:0
74;Rozmiar:rozmiar:0; 32:0
74;Rozmiar:rozmiar:0; 34:0
74;Rozmiar:rozmiar:0; 36:0
74;Rozmiar:rozmiar:0; 38:0
74;Rozmiar:rozmiar:0; 40:0
74;Rozmiar:rozmiar:0; 42:0
74;Rozmiar:rozmiar:0; 44:0
74;Rozmiar:rozmiar:0; 46:0
75;Rozmiar:rozmiar:0; 32:0
75;Rozmiar:rozmiar:0; 34:0
75;Rozmiar:rozmiar:0; 36:0
75;Rozmiar:rozmiar:0; 38:0
75;Rozmiar:rozmiar:0; 40:0
75;Rozmiar:rozmiar:0; 42:0
75;Rozmiar:rozmiar:0; 44:0
75;Rozmiar:rozmiar:0; 46:0
76;Rozmiar:rozmiar:0; 32:0
76;Rozmiar:rozmiar:0; 34:0
76;Rozmiar:rozmiar:0; 36:0
76;Rozmiar:rozmiar:0; 38:0
76;Rozmiar:rozmiar:0; 40:0
76;Rozmiar:rozmiar:0; 42:0
76;Rozmiar:rozmiar:0; 44:0
76;Rozmiar:rozmiar:0; 46:0
77;Rozmiar:rozmiar:0; 32:0
77;Rozmiar:rozmiar:0; 34:0
77;Rozmiar:rozmiar:0; 36:0
77;Rozmiar:rozmiar:0; 38:0
77;Rozmiar:rozmiar:0; 40:0
77;Rozmiar:rozmiar:0; 42:0
77;Rozmiar:rozmiar:0; 44:0
77;Rozmiar:rozmiar:0; 46:0
78;Rozmiar:rozmiar:0; L:0
78;Rozmiar:rozmiar:0; M:0
78;Rozmiar:rozmiar:0; S:0
78;Rozmiar:rozmiar:0; XL:0
78;Rozmiar:rozmiar:0; XS:0
79;Rozmiar:rozmiar:0; 170x50:0
80;Rozmiar:rozmiar:0; 32:0
80;Rozmiar:rozmiar:0; 34:0
80;Rozmiar:rozmiar:0; 36:0
80;Rozmiar:rozmiar:0; 38:0
80;Rozmiar:rozmiar:0; 40:0
80;Rozmiar:rozmiar:0; 42:0
80;Rozmiar:rozmiar:0; 44:0
80;Rozmiar:rozmiar:0; 46:0
80;Rozmiar:rozmiar:0; 48:0
80;Rozmiar:rozmiar:0; 50:0
81;Rozmiar:rozmiar:0; 32:0
81;Rozmiar:rozmiar:0; 34:0
81;Rozmiar:rozmiar:0; 36:0
81;Rozmiar:rozmiar:0; 38:0
81;Rozmiar:rozmiar:0; 40:0
81;Rozmiar:rozmiar:0; 42:0
81;Rozmiar:rozmiar:0; 44:0
81;Rozmiar:rozmiar:0; 46:0
82;Rozmiar:rozmiar:0; 32:0
